Commune,ID,MeanRT,MeanCases,Sum_AE,LOC_RISK,JAN_EVI_ME,OCT_EVI_ME,JAN_LST_ME,OCT_LST_ME,JAN_NDVI_M,OCT_NDVI_M,Dep_RT,Casa_RT,Piez_RT,Med_RT,Ranch_RT,Ruca_RT,Movil_RT,col_rt,x,y,long,lat
Huara                                                                                                                                                                                                                                                         ,   1,    3.8476,    0.1000,   1,       3.1129907354, 5.46515844762e-002, 5.44500015676e-002, 4.00371170044e+001, 4.20104751587e+001, 8.28104764223e-002, 8.27118456364e-002,    0.0000,    0.7954,    0.0145,    0.1093,    0.0624,    0.0000,    0.0010,    0.0110, 4.30e+005, 7.83e+006,-6.97e+001,-1.96e+001
Colchane                                                                                                                                                                                                                                                      ,   2,    0.0000,    0.0000,   0,       0.0000000000, 7.41483643651e-002, 6.95394873619e-002, 3.09517040253e+001, 3.54466972351e+001, 1.22980900109e-001, 1.09519913793e-001,    0.0000,    0.1207,    0.0022,    0.2759,    0.5898,    0.0000,    0.0014,    0.0086, 5.16e+005, 7.86e+006,-6.88e+001,-1.94e+001
Camina                                                                                                                                                                                                                                                        ,   3,   15.6863,    0.2000,   2,      12.6987822497, 5.24949021637e-002, 5.11535033584e-002, 3.82995986938e+001, 4.02130546570e+001, 8.55541899800e-002, 8.22677463293e-002,    0.0000,    0.3878,    0.0050,    0.2219,    0.3741,    0.0000,    0.0025,    0.0025, 4.47e+005, 7.86e+006,-6.95e+001,-1.94e+001
Pica                                                                                                                                                                                                                                                          ,   4,    1.6186,    0.1000,   1,       1.3092967037, 6.54807984829e-002, 6.34887441993e-002, 3.34661788940e+001, 3.56695365906e+001, 1.01692400873e-001, 9.85370650887e-002,    0.0000,    0.8366,    0.0151,    0.0610,    0.0132,    0.0000,    0.0031,    0.0534, 5.09e+005, 7.74e+006,-6.89e+001,-2.05e+001
Iquique                                                                                                                                                                                                                                                       ,   5,    3.7427,    8.1000,   3,       3.1145051620, 5.14532662928e-002, 5.16757108271e-002, 4.24732780457e+001, 3.67659492493e+001, 7.83194378018e-002, 7.99046233296e-002,    0.1606,    0.7268,    0.0278,    0.0667,    0.0035,    0.0000,    0.0014,    0.0063, 3.92e+005, 7.68e+006,-7.00e+001,-2.09e+001
Alto Hospicio                                                                                                                                                                                                                                                 ,   6,    2.7880,    1.4000,   2,       2.2639373368, 6.02526888251e-002, 6.12044148147e-002, 4.40779075623e+001, 4.05577392578e+001, 8.83852764964e-002, 9.09950956702e-002,    0.1338,    0.8234,    0.0060,    0.0130,    0.0024,    0.0000,    0.0016,    0.0073, 3.94e+005, 7.77e+006,-7.00e+001,-2.02e+001
Pozo Almonte                                                                                                                                                                                                                                                  ,   7,    3.6934,    0.4000,   3,       2.9912716642, 6.05401471257e-002, 6.14024363458e-002, 4.54254646301e+001, 4.50102233887e+001, 8.51573944092e-002, 8.87693762779e-002,    0.0002,    0.8616,    0.0195,    0.0710,    0.0278,    0.0000,    0.0008,    0.0100, 4.47e+005, 7.70e+006,-6.95e+001,-2.08e+001
Mejillones                                                                                                                                                                                                                                                    ,   8,    0.0000,    0.0000,   0,       0.0000000000, 4.68374118209e-002, 4.68073114753e-002, 4.32424430847e+001, 3.93715972900e+001, 6.97005540133e-002, 7.12260305882e-002,    0.0133,    0.9161,    0.0059,    0.0307,    0.0041,    0.0000,    0.0018,    0.0229, 3.77e+005, 7.46e+006,-7.02e+001,-2.29e+001
San Pedro de Atacama                                                                                                                                                                                                                                          ,   9,    8.0499,    0.4000,   1,       6.5219287459, 5.29583431780e-002, 4.99674938619e-002, 3.84075126648e+001, 3.25201721191e+001, 7.87360966206e-002, 7.42708668113e-002,    0.0005,    0.8423,    0.0343,    0.0300,    0.0406,    0.0000,    0.0010,    0.0377, 6.11e+005, 7.41e+006,-6.79e+001,-2.34e+001
Sierra Gorda                                                                                                                                                                                                                                                  ,  10,    0.0000,    0.0000,   0,       0.0000000000, 5.09353019297e-002, 5.12772239745e-002, 4.76798400879e+001, 4.04076347351e+001, 6.94149285555e-002, 7.33847022057e-002,    0.0000,    0.8394,    0.0064,    0.0428,    0.0086,    0.0000,    0.0128,    0.0878, 4.69e+005, 7.43e+006,-6.93e+001,-2.33e+001
